DIRECTORY;cvc4_cbqi;cvc4_default;cvc4_fmf;cvc4_tplanes;cvc4_tplanes_cbqi;cvc4_tplanes_fmf
BENCHMARK;STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s];STAT;SLVD;SAT;UNSAT;CPU[s]
full-int_check_bvsgt_bvneg_ltr.smt2;ok;1;0;1;3.16;ok;1;0;1;1.61;to;0;0;0;10800.18;ok;1;0;1;1.57;ok;1;0;1;3.2;to;0;0;0;10800.11
full-int_check_bvsgt_bvneg_rtl.smt2;ok;1;0;1;0.16;ok;1;0;1;0.07;mo;0;0;0;941.78;ok;1;0;1;0.06;ok;1;0;1;0.15;mo;0;0;0;912.29
full-int_check_bvsgt_bvnot_ltr.smt2;ok;1;0;1;0.96;ok;1;0;1;0.3;to;0;0;0;10800.07;ok;1;0;1;0.37;ok;1;0;1;1.04;to;0;0;0;10800.07
full-int_check_bvsgt_bvnot_rtl.smt2;ok;1;0;1;0.71;ok;1;0;1;0.07;ok;1;0;1;0.3;ok;1;0;1;0.08;ok;1;0;1;0.66;ok;1;0;1;0.27
full-int_check_bvsgt_bvor_ltr.smt2;to;0;0;0;10800.08;ok;0;0;0;0.07;to;0;0;0;10800.06;ok;0;0;0;0.14;to;0;0;0;10800.04;to;0;0;0;10800.09
full-int_check_bvsgt_bvor_rtl.smt2;to;0;0;0;10800.09;ok;0;0;0;0.15;to;0;0;0;10800.12;ok;0;0;0;0.14;to;0;0;0;10744.46;to;0;0;0;10800.11
full-int_check_bvsgt_bvshl0_ltr.smt2;to;0;0;0;10800.06;ok;0;0;0;0.47;to;0;0;0;10800.13;ok;0;0;0;0.46;to;0;0;0;10800.02;to;0;0;0;10800.13
full-int_check_bvsgt_bvshl0_rtl.smt2;to;0;0;0;10800.07;ok;0;0;0;0.29;mo;0;0;0;1092.22;ok;0;0;0;0.29;to;0;0;0;10800.06;mo;0;0;0;1152.3
full-int_check_bvsgt_bvshl1_ltr.smt2;mo;0;0;0;1132.98;mo;0;0;0;1356.39;mo;0;0;0;4769.68;mo;0;0;0;1324.13;mo;0;0;0;1131.33;mo;0;0;0;5233.8
full-int_check_bvsgt_bvshl1_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.07;mo;0;0;0;925.33;ok;0;0;0;0.07;to;0;0;0;10800.04;mo;0;0;0;927.19
full-int_check_bvsgt_bvudiv0_ltr.smt2;ok;1;0;1;10642.93;to;0;0;0;10800.09;mo;0;0;0;2436.42;to;0;0;0;10763.81;ok;1;0;1;10526.92;mo;0;0;0;2742.18
full-int_check_bvsgt_bvudiv0_rtl.smt2;to;0;0;0;10800.03;ok;0;0;0;0.71;to;0;0;0;10800.03;ok;1;0;1;1.75;to;0;0;0;10800.08;to;0;0;0;10800.08
full-int_check_bvsgt_bvudiv1_ltr.smt2;mo;0;0;0;1283.83;mo;0;0;0;1270.62;mo;0;0;0;572.12;mo;0;0;0;1279.15;mo;0;0;0;1271.12;mo;0;0;0;562.83
full-int_check_bvsgt_bvudiv1_rtl.smt2;to;0;0;0;10800.03;ok;0;0;0;0.29;to;0;0;0;10800.01;ok;0;0;0;0.3;to;0;0;0;10800.02;to;0;0;0;10800.03
full-int_check_bvsgt_bvurem0_ltr.smt2;ok;1;0;1;7.95;ok;1;0;1;5.81;mo;0;0;0;4894.05;ok;1;0;1;5.95;ok;1;0;1;8.3;mo;0;0;0;4586.59
full-int_check_bvsgt_bvurem0_rtl.smt2;ok;1;0;1;0.8;ok;1;0;1;0.32;ok;1;0;1;0.89;ok;1;0;1;0.36;ok;1;0;1;0.78;ok;1;0;1;0.89
full-int_check_bvsgt_bvurem1_ltr.smt2;mo;0;0;0;1277.02;mo;0;0;0;480.45;mo;0;0;0;608.53;mo;0;0;0;474.5;mo;0;0;0;1259.44;mo;0;0;0;599.83
full-int_check_bvsgt_bvurem1_rtl.smt2;to;0;0;0;10800.08;ok;0;0;0;0.54;ok;1;0;1;23.71;ok;0;0;0;0.62;to;0;0;0;10800.1;ok;1;0;1;25.97
full-int_check_bvsle_bvadd_ltr.smt2;ok;1;0;1;195.38;ok;1;0;1;4.69;mo;0;0;0;912.58;ok;1;0;1;4.72;ok;1;0;1;193.72;mo;0;0;0;935.44
full-int_check_bvsle_bvadd_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvsle_bvand_ltr.smt2;to;0;0;0;10800.04;ok;0;0;0;0.15;mo;0;0;0;6247.76;ok;0;0;0;0.15;to;0;0;0;10800.03;mo;0;0;0;6558.96
full-int_check_bvsle_bvand_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.0;to;0;0;0;10800.03;ok;0;0;0;0.0;to;0;0;0;10800.09;to;0;0;0;10800.12
full-int_check_bvsle_bvashr0_ltr.smt2;to;0;0;0;10800.02;ok;0;0;0;1.12;mo;0;0;0;972.36;ok;0;0;0;1.08;to;0;0;0;10800.09;mo;0;0;0;1004.11
full-int_check_bvsle_bvashr0_rtl.smt2;to;0;0;0;10800.09;ok;0;0;0;0.16;mo;0;0;0;1310.52;ok;0;0;0;0.15;to;0;0;0;10800.02;mo;0;0;0;1324.99
full-int_check_bvsle_bvashr1_ltr.smt2;to;0;0;0;10800.01;ok;0;0;0;0.93;mo;0;0;0;1185.73;ok;0;0;0;0.89;to;0;0;0;10800.07;mo;0;0;0;1140.09
full-int_check_bvsle_bvashr1_rtl.smt2;to;0;0;0;10800.04;ok;0;0;0;0.18;ok;1;0;1;27.52;ok;0;0;0;0.15;to;0;0;0;10800.05;ok;1;0;1;27.66
full-int_check_bvsle_bvlshr0_ltr.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvsle_bvlshr0_rtl.smt2;to;0;0;0;10800.05;to;0;0;0;10800.03;mo;0;0;0;1056.8;to;0;0;0;10800.07;to;0;0;0;10800.03;mo;0;0;0;1088.89
full-int_check_bvsle_bvlshr1_ltr.smt2;to;0;0;0;10800.03;to;0;0;0;10770.0;mo;0;0;0;1126.85;to;0;0;0;10667.91;to;0;0;0;10800.06;mo;0;0;0;1089.85
full-int_check_bvsle_bvlshr1_rtl.smt2;to;0;0;0;10800.02;ok;0;0;0;0.08;ok;1;0;1;3.85;ok;0;0;0;0.07;to;0;0;0;10800.03;ok;1;0;1;4.08
full-int_check_bvsle_bvmul_ltr.smt2;mo;0;0;0;464.53;mo;0;0;0;823.78;mo;0;0;0;4112.39;mo;0;0;0;816.35;mo;0;0;0;468.59;mo;0;0;0;4021.5
full-int_check_bvsle_bvmul_rtl.smt2;ok;1;0;1;0.3;ok;1;0;1;0.07;ok;1;0;1;0.19;ok;1;0;1;0.07;ok;1;0;1;0.31;ok;1;0;1;0.23
full-int_check_bvsle_bvneg_ltr.smt2;ok;1;0;1;1.19;ok;1;0;1;0.49;mo;0;0;0;669.29;ok;1;0;1;0.49;ok;1;0;1;1.15;mo;0;0;0;686.18
full-int_check_bvsle_bvneg_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvsle_bvnot_ltr.smt2;ok;1;0;1;0.96;ok;1;0;1;0.36;to;0;0;0;10800.08;ok;1;0;1;0.32;ok;1;0;1;0.94;to;0;0;0;10800.1
full-int_check_bvsle_bvnot_rtl.smt2;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0;ok;1;0;1;0.0
full-int_check_bvsle_bvor_ltr.smt2;to;0;0;0;10800.05;ok;0;0;0;0.15;to;0;0;0;10800.09;ok;0;0;0;0.17;to;0;0;0;10800.06;to;0;0;0;10800.02
full-int_check_bvsle_bvor_rtl.smt2;to;0;0;0;10800.09;to;0;0;0;10788.96;to;0;0;0;10800.17;to;0;0;0;10800.06;to;0;0;0;10769.33;to;0;0;0;10800.18
full-int_check_bvsle_bvshl0_ltr.smt2;to;0;0;0;10800.06;to;0;0;0;10763.48;to;0;0;0;10800.08;to;0;0;0;10800.04;to;0;0;0;10800.07;to;0;0;0;10800.07
full-int_check_bvsle_bvshl0_rtl.smt2;to;0;0;0;10800.07;ok;0;0;0;0.07;to;0;0;0;10800.09;ok;0;0;0;0.07;to;0;0;0;10800.07;to;0;0;0;10800.08
full-int_check_bvsle_bvshl1_ltr.smt2;mo;0;0;0;610.96;mo;0;0;0;469.73;mo;0;0;0;2865.08;mo;0;0;0;465.27;mo;0;0;0;610.21;mo;0;0;0;2787.14
full-int_check_bvsle_bvshl1_rtl.smt2;to;0;0;0;10800.01;ok;0;0;0;0.07;ok;1;0;1;3.73;ok;0;0;0;0.07;to;0;0;0;10800.08;ok;1;0;1;3.72
