,ic_name,direction,encoding,cond_inv,proved
432,bvsle_bvlshr1,ltr,qf,inv_g,no
433,bvsle_bvlshr1,ltr,qf,inv_r,no
434,bvsle_bvlshr1,ltr,qf,no_inv,no
435,bvsle_bvlshr1,rtl,full,NA,no
436,bvsle_bvlshr1,rtl,partial,NA,yes
437,bvsle_bvlshr1,rtl,qf,NA,yes
438,bvsle_bvmul,ltr,full,no_inv,no
439,bvsle_bvmul,ltr,partial,no_inv,no
440,bvsle_bvmul,ltr,qf,no_inv,no
441,bvsle_bvmul,rtl,full,NA,yes
442,bvsle_bvmul,rtl,partial,NA,yes
443,bvsle_bvmul,rtl,qf,NA,yes
444,bvsle_bvneg,ltr,full,inv_a,yes
445,bvsle_bvneg,ltr,full,inv_g,yes
446,bvsle_bvneg,ltr,full,inv_r,yes
447,bvsle_bvneg,ltr,full,no_inv,no
448,bvsle_bvneg,ltr,partial,inv_a,yes
449,bvsle_bvneg,ltr,partial,inv_g,yes
450,bvsle_bvneg,ltr,partial,inv_r,yes
451,bvsle_bvneg,ltr,partial,no_inv,no
452,bvsle_bvneg,ltr,qf,inv_a,yes
453,bvsle_bvneg,ltr,qf,inv_g,yes
454,bvsle_bvneg,ltr,qf,inv_r,yes
455,bvsle_bvneg,ltr,qf,no_inv,no
456,bvsle_bvneg,rtl,full,NA,yes
457,bvsle_bvneg,rtl,partial,NA,yes
458,bvsle_bvneg,rtl,qf,NA,yes
459,bvsle_bvnot,ltr,full,inv_a,yes
460,bvsle_bvnot,ltr,full,inv_g,yes
461,bvsle_bvnot,ltr,full,inv_r,yes
462,bvsle_bvnot,ltr,full,no_inv,no
463,bvsle_bvnot,ltr,partial,inv_a,yes
464,bvsle_bvnot,ltr,partial,inv_g,yes
465,bvsle_bvnot,ltr,partial,inv_r,yes
466,bvsle_bvnot,ltr,partial,no_inv,no
467,bvsle_bvnot,ltr,qf,inv_a,yes
468,bvsle_bvnot,ltr,qf,inv_g,yes
469,bvsle_bvnot,ltr,qf,inv_r,yes
