config,ic_name,direction,proved
cvc4_tplanes,bvugt_bvor,ltr,yes
cvc4_tplanes,bvugt_bvor,rtl,no
cvc4_tplanes,bvugt_bvshl0,ltr,yes
cvc4_tplanes,bvugt_bvshl0,rtl,no
cvc4_tplanes,bvugt_bvshl1,ltr,no
cvc4_tplanes,bvugt_bvshl1,rtl,yes
cvc4_tplanes,bvugt_bvudiv0,ltr,yes
cvc4_tplanes,bvugt_bvudiv0,rtl,yes
cvc4_tplanes,bvugt_bvudiv1,ltr,yes
cvc4_tplanes,bvugt_bvudiv1,rtl,yes
cvc4_tplanes,bvugt_bvurem0,ltr,yes
cvc4_tplanes,bvugt_bvurem0,rtl,yes
cvc4_tplanes,bvugt_bvurem1,ltr,yes
cvc4_tplanes,bvugt_bvurem1,rtl,yes
cvc4_tplanes,bvule_bvadd,ltr,yes
cvc4_tplanes,bvule_bvadd,rtl,yes
cvc4_tplanes,bvule_bvand,ltr,no
cvc4_tplanes,bvule_bvand,rtl,yes
cvc4_tplanes,bvule_bvashr0,ltr,yes
cvc4_tplanes,bvule_bvashr0,rtl,yes
cvc4_tplanes,bvule_bvashr1,ltr,no
cvc4_tplanes,bvule_bvashr1,rtl,yes
cvc4_tplanes,bvule_bvlshr0,ltr,no
cvc4_tplanes,bvule_bvlshr0,rtl,yes
cvc4_tplanes,bvule_bvlshr1,ltr,no
cvc4_tplanes,bvule_bvlshr1,rtl,yes
cvc4_tplanes,bvule_bvmul,ltr,yes
cvc4_tplanes,bvule_bvmul,rtl,yes
cvc4_tplanes,bvule_bvneg,ltr,yes
cvc4_tplanes,bvule_bvneg,rtl,yes
cvc4_tplanes,bvule_bvnot,ltr,yes
cvc4_tplanes,bvule_bvnot,rtl,yes
cvc4_tplanes,bvule_bvor,ltr,yes
cvc4_tplanes,bvule_bvor,rtl,no
cvc4_tplanes,bvule_bvshl0,ltr,yes
cvc4_tplanes,bvule_bvshl0,rtl,yes
cvc4_tplanes,bvule_bvshl1,ltr,no
cvc4_tplanes,bvule_bvshl1,rtl,yes
cvc4_tplanes,bvule_bvudiv0,ltr,yes
cvc4_tplanes,bvule_bvudiv0,rtl,no
cvc4_tplanes,bvule_bvudiv1,ltr,yes
cvc4_tplanes,bvule_bvudiv1,rtl,no
cvc4_tplanes,bvule_bvurem0,ltr,yes
cvc4_tplanes,bvule_bvurem0,rtl,yes
cvc4_tplanes,bvule_bvurem1,ltr,yes
cvc4_tplanes,bvule_bvurem1,rtl,yes
cvc4_tplanes,bvult_bvadd,ltr,yes
cvc4_tplanes,bvult_bvadd,rtl,yes
cvc4_tplanes,bvult_bvand,ltr,yes
cvc4_tplanes,bvult_bvand,rtl,no
cvc4_tplanes,bvult_bvashr0,ltr,yes
cvc4_tplanes,bvult_bvashr0,rtl,yes
cvc4_tplanes,bvult_bvashr1,ltr,no
cvc4_tplanes,bvult_bvashr1,rtl,yes
cvc4_tplanes,bvult_bvlshr0,ltr,no
cvc4_tplanes,bvult_bvlshr0,rtl,yes
cvc4_tplanes,bvult_bvlshr1,ltr,no
cvc4_tplanes,bvult_bvlshr1,rtl,yes
cvc4_tplanes,bvult_bvmul,ltr,yes
cvc4_tplanes,bvult_bvmul,rtl,yes
cvc4_tplanes,bvult_bvneg,ltr,yes
cvc4_tplanes,bvult_bvneg,rtl,yes
cvc4_tplanes,bvult_bvnot,ltr,yes
cvc4_tplanes,bvult_bvnot,rtl,yes
cvc4_tplanes,bvult_bvor,ltr,yes
cvc4_tplanes,bvult_bvor,rtl,no
cvc4_tplanes,bvult_bvshl0,ltr,yes
cvc4_tplanes,bvult_bvshl0,rtl,yes
