,ic_name,direction,encoding,proved,to_keep
369,bvsle_bvurem0,ltr,full,no,False
370,bvsle_bvurem0,ltr,partial,no,False
371,bvsle_bvurem0,ltr,qf,no,True
372,bvsle_bvurem0,rtl,combined,yes,True
373,bvsle_bvurem0,rtl,full,no,False
374,bvsle_bvurem0,rtl,partial,yes,False
375,bvsle_bvurem0,rtl,qf,no,True
376,bvsle_bvurem1,ltr,combined,yes,True
377,bvsle_bvurem1,ltr,full,yes,False
378,bvsle_bvurem1,ltr,partial,no,False
379,bvsle_bvurem1,ltr,qf,yes,True
380,bvsle_bvurem1,rtl,combined,yes,True
381,bvsle_bvurem1,rtl,full,yes,False
382,bvsle_bvurem1,rtl,partial,yes,False
383,bvsle_bvurem1,rtl,qf,no,True
384,bvslt_bvadd,ltr,combined,yes,True
385,bvslt_bvadd,ltr,full,yes,False
386,bvslt_bvadd,ltr,partial,no,False
387,bvslt_bvadd,ltr,qf,no,True
388,bvslt_bvadd,rtl,combined,yes,True
389,bvslt_bvadd,rtl,full,yes,False
390,bvslt_bvadd,rtl,partial,no,False
391,bvslt_bvadd,rtl,qf,no,True
392,bvslt_bvand,ltr,combined,yes,True
393,bvslt_bvand,ltr,full,yes,False
394,bvslt_bvand,ltr,partial,yes,False
395,bvslt_bvand,ltr,qf,yes,True
396,bvslt_bvand,rtl,combined,yes,True
397,bvslt_bvand,rtl,full,no,False
398,bvslt_bvand,rtl,partial,no,False
399,bvslt_bvand,rtl,qf,no,True
400,bvslt_bvashr0,ltr,combined,yes,True
401,bvslt_bvashr0,ltr,full,yes,False
402,bvslt_bvashr0,ltr,partial,yes,False
403,bvslt_bvashr0,ltr,qf,yes,True
404,bvslt_bvashr0,rtl,combined,no,True
405,bvslt_bvashr0,rtl,full,no,False
406,bvslt_bvashr0,rtl,partial,no,False
407,bvslt_bvashr0,rtl,qf,no,True
408,bvslt_bvashr1,ltr,combined,no,True
409,bvslt_bvashr1,ltr,full,no,False
410,bvslt_bvashr1,ltr,partial,no,False
411,bvslt_bvashr1,ltr,qf,no,True
412,bvslt_bvashr1,rtl,combined,yes,True
413,bvslt_bvashr1,rtl,full,no,False
414,bvslt_bvashr1,rtl,partial,no,False
415,bvslt_bvashr1,rtl,qf,no,True
416,bvslt_bvlshr0,ltr,combined,yes,True
417,bvslt_bvlshr0,ltr,full,yes,False
418,bvslt_bvlshr0,ltr,partial,yes,False
419,bvslt_bvlshr0,ltr,qf,yes,True
420,bvslt_bvlshr0,rtl,combined,yes,True
421,bvslt_bvlshr0,rtl,full,no,False
422,bvslt_bvlshr0,rtl,partial,no,False
423,bvslt_bvlshr0,rtl,qf,no,True
424,bvslt_bvlshr1,ltr,combined,no,True
425,bvslt_bvlshr1,ltr,full,no,False
426,bvslt_bvlshr1,ltr,partial,no,False
427,bvslt_bvlshr1,ltr,qf,no,True
428,bvslt_bvlshr1,rtl,combined,yes,True
429,bvslt_bvlshr1,rtl,full,no,False
430,bvslt_bvlshr1,rtl,partial,yes,False
431,bvslt_bvlshr1,rtl,qf,no,True
432,bvslt_bvmul,ltr,combined,no,True
433,bvslt_bvmul,ltr,full,no,False
434,bvslt_bvmul,ltr,partial,no,False
435,bvslt_bvmul,ltr,qf,no,True
436,bvslt_bvmul,rtl,combined,no,True
437,bvslt_bvmul,rtl,full,no,False
438,bvslt_bvmul,rtl,partial,no,False
439,bvslt_bvmul,rtl,qf,no,True
440,bvslt_bvneg,ltr,combined,yes,True
441,bvslt_bvneg,ltr,full,yes,False
442,bvslt_bvneg,ltr,partial,no,False
443,bvslt_bvneg,ltr,qf,no,True
444,bvslt_bvneg,rtl,combined,yes,True
445,bvslt_bvneg,rtl,full,yes,False
446,bvslt_bvneg,rtl,partial,no,False
447,bvslt_bvneg,rtl,qf,no,True
448,bvslt_bvnot,ltr,combined,yes,True
449,bvslt_bvnot,ltr,full,yes,False
450,bvslt_bvnot,ltr,partial,no,False
451,bvslt_bvnot,ltr,qf,no,True
452,bvslt_bvnot,rtl,combined,yes,True
453,bvslt_bvnot,rtl,full,yes,False
454,bvslt_bvnot,rtl,partial,no,False
455,bvslt_bvnot,rtl,qf,no,True
456,bvslt_bvor,ltr,combined,yes,True
457,bvslt_bvor,ltr,full,yes,False
458,bvslt_bvor,ltr,partial,yes,False
459,bvslt_bvor,ltr,qf,yes,True
460,bvslt_bvor,rtl,combined,no,True
461,bvslt_bvor,rtl,full,no,False
462,bvslt_bvor,rtl,partial,no,False
463,bvslt_bvor,rtl,qf,no,True
464,bvslt_bvshl0,ltr,combined,yes,True
465,bvslt_bvshl0,ltr,full,yes,False
466,bvslt_bvshl0,ltr,partial,yes,False
467,bvslt_bvshl0,ltr,qf,yes,True
468,bvslt_bvshl0,rtl,combined,no,True
469,bvslt_bvshl0,rtl,full,no,False
470,bvslt_bvshl0,rtl,partial,no,False
471,bvslt_bvshl0,rtl,qf,no,True
472,bvslt_bvshl1,ltr,combined,no,True
473,bvslt_bvshl1,ltr,full,no,False
474,bvslt_bvshl1,ltr,partial,no,False
475,bvslt_bvshl1,ltr,qf,no,True
476,bvslt_bvshl1,rtl,combined,no,True
477,bvslt_bvshl1,rtl,full,yes,False
478,bvslt_bvshl1,rtl,partial,no,False
479,bvslt_bvshl1,rtl,qf,no,True
480,bvslt_bvudiv0,ltr,combined,yes,True
481,bvslt_bvudiv0,ltr,full,yes,False
482,bvslt_bvudiv0,ltr,partial,no,False
483,bvslt_bvudiv0,ltr,qf,no,True
484,bvslt_bvudiv0,rtl,combined,yes,True
485,bvslt_bvudiv0,rtl,full,yes,False
486,bvslt_bvudiv0,rtl,partial,no,False
487,bvslt_bvudiv0,rtl,qf,no,True
488,bvslt_bvudiv1,ltr,combined,yes,True
489,bvslt_bvudiv1,ltr,full,yes,False
490,bvslt_bvudiv1,ltr,partial,no,False
491,bvslt_bvudiv1,ltr,qf,no,True
492,bvslt_bvudiv1,rtl,combined,yes,True
493,bvslt_bvudiv1,rtl,full,yes,False
494,bvslt_bvudiv1,rtl,partial,no,False
495,bvslt_bvudiv1,rtl,qf,no,True
496,bvslt_bvurem0,ltr,combined,no,True
497,bvslt_bvurem0,ltr,full,no,False
498,bvslt_bvurem0,ltr,partial,no,False
499,bvslt_bvurem0,ltr,qf,no,True
500,bvslt_bvurem0,rtl,combined,no,True
501,bvslt_bvurem0,rtl,full,no,False
502,bvslt_bvurem0,rtl,partial,no,False
503,bvslt_bvurem0,rtl,qf,no,True
504,bvslt_bvurem1,ltr,combined,yes,True
505,bvslt_bvurem1,ltr,full,yes,False
506,bvslt_bvurem1,ltr,partial,yes,False
507,bvslt_bvurem1,ltr,qf,yes,True
508,bvslt_bvurem1,rtl,combined,yes,True
509,bvslt_bvurem1,rtl,full,yes,False
510,bvslt_bvurem1,rtl,partial,no,False
511,bvslt_bvurem1,rtl,qf,no,True
512,bvuge_bvadd,ltr,combined,yes,True
513,bvuge_bvadd,ltr,full,yes,False
514,bvuge_bvadd,ltr,partial,yes,False
515,bvuge_bvadd,ltr,qf,yes,True
516,bvuge_bvadd,rtl,combined,yes,True
517,bvuge_bvadd,rtl,full,yes,False
518,bvuge_bvadd,rtl,partial,yes,False
519,bvuge_bvadd,rtl,qf,yes,True
520,bvuge_bvand,ltr,combined,yes,True
521,bvuge_bvand,ltr,full,no,False
522,bvuge_bvand,ltr,partial,yes,False
523,bvuge_bvand,ltr,qf,no,True
524,bvuge_bvand,rtl,combined,yes,True
525,bvuge_bvand,rtl,full,no,False
526,bvuge_bvand,rtl,partial,yes,False
527,bvuge_bvand,rtl,qf,no,True
528,bvuge_bvashr0,ltr,combined,yes,True
529,bvuge_bvashr0,ltr,full,no,False
530,bvuge_bvashr0,ltr,partial,no,False
531,bvuge_bvashr0,ltr,qf,no,True
532,bvuge_bvashr0,rtl,combined,yes,True
533,bvuge_bvashr0,rtl,full,yes,False
534,bvuge_bvashr0,rtl,partial,yes,False
535,bvuge_bvashr0,rtl,qf,yes,True
536,bvuge_bvashr1,ltr,combined,no,True
537,bvuge_bvashr1,ltr,full,no,False
538,bvuge_bvashr1,ltr,partial,no,False
539,bvuge_bvashr1,ltr,qf,no,True
540,bvuge_bvashr1,rtl,combined,yes,True
541,bvuge_bvashr1,rtl,full,no,False
542,bvuge_bvashr1,rtl,partial,no,False
543,bvuge_bvashr1,rtl,qf,no,True
544,bvuge_bvlshr0,ltr,combined,yes,True
545,bvuge_bvlshr0,ltr,full,yes,False
546,bvuge_bvlshr0,ltr,partial,yes,False
547,bvuge_bvlshr0,ltr,qf,yes,True
548,bvuge_bvlshr0,rtl,combined,yes,True
549,bvuge_bvlshr0,rtl,full,no,False
550,bvuge_bvlshr0,rtl,partial,yes,False
551,bvuge_bvlshr0,rtl,qf,no,True
552,bvuge_bvlshr1,ltr,combined,yes,True
553,bvuge_bvlshr1,ltr,full,yes,False
554,bvuge_bvlshr1,ltr,partial,yes,False
555,bvuge_bvlshr1,ltr,qf,yes,True
556,bvuge_bvlshr1,rtl,combined,yes,True
557,bvuge_bvlshr1,rtl,full,no,False
558,bvuge_bvlshr1,rtl,partial,yes,False
559,bvuge_bvlshr1,rtl,qf,no,True
560,bvuge_bvmul,ltr,combined,no,True
561,bvuge_bvmul,ltr,full,no,False
562,bvuge_bvmul,ltr,partial,no,False
563,bvuge_bvmul,ltr,qf,no,True
