,ic_name,direction,encoding,cond_inv,seconds
213,bvsle_bvudiv0,ltr,combined,inv_a,35
214,bvsle_bvudiv0,ltr,combined,inv_g,35
215,bvsle_bvudiv0,ltr,combined,inv_r,36
216,bvsle_bvudiv0,ltr,combined,no_inv,46
217,bvsle_bvudiv0,ltr,full,inv_a,0
218,bvsle_bvudiv0,ltr,full,inv_g,0
219,bvsle_bvudiv0,ltr,full,inv_r,0
220,bvsle_bvudiv0,rtl,combined,NA,1
221,bvsle_bvudiv0,rtl,full,NA,0
222,bvsle_bvudiv1,ltr,combined,no_inv,0
223,bvsle_bvudiv1,ltr,full,no_inv,0
224,bvsle_bvudiv1,ltr,partial,no_inv,0
225,bvsle_bvudiv1,ltr,qf,no_inv,182
226,bvsle_bvudiv1,rtl,combined,NA,0
227,bvsle_bvudiv1,rtl,full,NA,0
228,bvsle_bvurem0,rtl,combined,NA,18
229,bvsle_bvurem0,rtl,partial,NA,5
230,bvsle_bvurem1,ltr,combined,inv_a,15
231,bvsle_bvurem1,ltr,combined,inv_g,15
232,bvsle_bvurem1,ltr,combined,inv_r,7
233,bvsle_bvurem1,ltr,full,inv_a,0
234,bvsle_bvurem1,ltr,full,inv_g,0
235,bvsle_bvurem1,ltr,full,inv_r,0
236,bvsle_bvurem1,ltr,full,no_inv,49
237,bvsle_bvurem1,ltr,qf,no_inv,213
238,bvsle_bvurem1,rtl,combined,NA,0
239,bvsle_bvurem1,rtl,full,NA,0
240,bvsle_bvurem1,rtl,partial,NA,17
241,bvslt_bvadd,ltr,combined,inv_a,167
242,bvslt_bvadd,ltr,combined,inv_g,170
243,bvslt_bvadd,ltr,full,inv_a,0
244,bvslt_bvadd,ltr,full,inv_g,0
245,bvslt_bvadd,rtl,combined,NA,7
246,bvslt_bvadd,rtl,full,NA,0
247,bvslt_bvand,ltr,combined,inv_a,34
248,bvslt_bvand,ltr,combined,inv_g,35
249,bvslt_bvand,ltr,combined,inv_r,34
250,bvslt_bvand,ltr,combined,no_inv,0
251,bvslt_bvand,ltr,full,no_inv,0
252,bvslt_bvand,ltr,partial,no_inv,0
253,bvslt_bvand,ltr,qf,no_inv,0
254,bvslt_bvashr0,ltr,combined,inv_a,0
255,bvslt_bvashr0,ltr,combined,inv_g,0
256,bvslt_bvashr0,ltr,combined,inv_r,0
257,bvslt_bvashr0,ltr,combined,no_inv,43
258,bvslt_bvashr0,ltr,full,inv_a,0
259,bvslt_bvashr0,ltr,full,inv_g,0
260,bvslt_bvashr0,ltr,full,inv_r,0
261,bvslt_bvashr0,ltr,partial,inv_a,0
262,bvslt_bvashr0,ltr,partial,inv_g,0
263,bvslt_bvashr0,ltr,partial,inv_r,0
264,bvslt_bvashr0,ltr,partial,no_inv,0
265,bvslt_bvashr0,ltr,qf,inv_a,0
266,bvslt_bvashr0,ltr,qf,inv_g,0
267,bvslt_bvashr0,ltr,qf,inv_r,0
268,bvslt_bvashr1,rtl,combined,NA,0
269,bvslt_bvlshr0,ltr,combined,inv_a,0
270,bvslt_bvlshr0,ltr,combined,inv_r,0
271,bvslt_bvlshr0,ltr,combined,no_inv,0
272,bvslt_bvlshr0,ltr,full,inv_a,0
273,bvslt_bvlshr0,ltr,full,inv_r,0
274,bvslt_bvlshr0,ltr,partial,inv_a,0
275,bvslt_bvlshr0,ltr,partial,inv_r,0
276,bvslt_bvlshr0,ltr,partial,no_inv,0
277,bvslt_bvlshr0,ltr,qf,inv_a,0
278,bvslt_bvlshr0,ltr,qf,inv_r,0
279,bvslt_bvlshr0,ltr,qf,no_inv,0
280,bvslt_bvlshr0,rtl,combined,NA,2
281,bvslt_bvlshr1,rtl,combined,NA,0
282,bvslt_bvlshr1,rtl,partial,NA,0
283,bvslt_bvneg,ltr,combined,inv_a,1
284,bvslt_bvneg,ltr,combined,inv_g,1
285,bvslt_bvneg,ltr,combined,inv_r,1
286,bvslt_bvneg,ltr,full,inv_a,0
287,bvslt_bvneg,ltr,full,inv_g,0
288,bvslt_bvneg,ltr,full,inv_r,0
289,bvslt_bvneg,rtl,combined,NA,5
290,bvslt_bvneg,rtl,full,NA,0
