encoding,config,ic_name,direction,proved
ahmed,cvc4,bvule_bvshl0,rtl,yes
ahmed,cvc4,bvule_bvshl1,ltr,yes
ahmed,cvc4,bvule_bvshl1,rtl,yes
ahmed,cvc4,bvule_bvudiv0,ltr,yes
ahmed,cvc4,bvule_bvudiv0,rtl,yes
ahmed,cvc4,bvule_bvudiv1,ltr,yes
ahmed,cvc4,bvule_bvudiv1,rtl,no
ahmed,cvc4,bvule_bvurem0,ltr,yes
ahmed,cvc4,bvule_bvurem0,rtl,yes
ahmed,cvc4,bvule_bvurem1,ltr,yes
ahmed,cvc4,bvule_bvurem1,rtl,yes
ahmed,cvc4,bvult_bvadd,ltr,yes
ahmed,cvc4,bvult_bvadd,rtl,yes
ahmed,cvc4,bvult_bvand,ltr,yes
ahmed,cvc4,bvult_bvand,rtl,yes
ahmed,cvc4,bvult_bvashr0,ltr,yes
ahmed,cvc4,bvult_bvashr0,rtl,yes
ahmed,cvc4,bvult_bvashr1,ltr,yes
ahmed,cvc4,bvult_bvashr1,rtl,yes
ahmed,cvc4,bvult_bvlshr0,ltr,no
ahmed,cvc4,bvult_bvlshr0,rtl,yes
ahmed,cvc4,bvult_bvlshr1,ltr,yes
ahmed,cvc4,bvult_bvlshr1,rtl,yes
ahmed,cvc4,bvult_bvmul,ltr,yes
ahmed,cvc4,bvult_bvmul,rtl,yes
ahmed,cvc4,bvult_bvneg,ltr,yes
ahmed,cvc4,bvult_bvneg,rtl,yes
ahmed,cvc4,bvult_bvnot,ltr,yes
ahmed,cvc4,bvult_bvnot,rtl,yes
ahmed,cvc4,bvult_bvor,ltr,yes
ahmed,cvc4,bvult_bvor,rtl,yes
ahmed,cvc4,bvult_bvshl0,ltr,yes
ahmed,cvc4,bvult_bvshl0,rtl,yes
ahmed,cvc4,bvult_bvshl1,ltr,yes
ahmed,cvc4,bvult_bvshl1,rtl,yes
ahmed,cvc4,bvult_bvudiv0,ltr,no
ahmed,cvc4,bvult_bvudiv0,rtl,yes
ahmed,cvc4,bvult_bvudiv1,ltr,no
ahmed,cvc4,bvult_bvudiv1,rtl,no
ahmed,cvc4,bvult_bvurem0,ltr,yes
ahmed,cvc4,bvult_bvurem0,rtl,yes
ahmed,cvc4,bvult_bvurem1,ltr,yes
ahmed,cvc4,bvult_bvurem1,rtl,yes
ahmed,cvc4,eq_bvadd,ltr,no
ahmed,cvc4,eq_bvadd,rtl,yes
ahmed,cvc4,eq_bvand,ltr,yes
ahmed,cvc4,eq_bvand,rtl,no
ahmed,cvc4,eq_bvashr0,ltr,no
ahmed,cvc4,eq_bvashr0,rtl,no
ahmed,cvc4,eq_bvashr1,ltr,no
ahmed,cvc4,eq_bvashr1,rtl,no
ahmed,cvc4,eq_bvlshr0,ltr,yes
ahmed,cvc4,eq_bvlshr0,rtl,yes
ahmed,cvc4,eq_bvlshr1,ltr,yes
ahmed,cvc4,eq_bvlshr1,rtl,yes
ahmed,cvc4,eq_bvmul,ltr,no
ahmed,cvc4,eq_bvmul,rtl,no
ahmed,cvc4,eq_bvneg,ltr,yes
ahmed,cvc4,eq_bvneg,rtl,yes
ahmed,cvc4,eq_bvnot,ltr,yes
ahmed,cvc4,eq_bvnot,rtl,yes
ahmed,cvc4,eq_bvor,ltr,yes
ahmed,cvc4,eq_bvor,rtl,no
ahmed,cvc4,eq_bvshl0,ltr,yes
ahmed,cvc4,eq_bvshl0,rtl,no
ahmed,cvc4,eq_bvshl1,ltr,no
ahmed,cvc4,eq_bvshl1,rtl,no
ahmed,cvc4,eq_bvudiv0,ltr,yes
ahmed,cvc4,eq_bvudiv0,rtl,no
ahmed,cvc4,eq_bvudiv1,ltr,no
ahmed,cvc4,eq_bvudiv1,rtl,no
ahmed,cvc4,eq_bvurem0,ltr,yes
ahmed,cvc4,eq_bvurem0,rtl,yes
ahmed,cvc4,eq_bvurem1,ltr,no
ahmed,cvc4,eq_bvurem1,rtl,no
ahmed,cvc4,ne_bvadd,ltr,yes
ahmed,cvc4,ne_bvadd,rtl,yes
ahmed,cvc4,ne_bvand,ltr,yes
ahmed,cvc4,ne_bvand,rtl,yes
ahmed,cvc4,ne_bvashr0,ltr,yes
ahmed,cvc4,ne_bvashr0,rtl,yes
ahmed,cvc4,ne_bvashr1,ltr,no
ahmed,cvc4,ne_bvashr1,rtl,yes
ahmed,cvc4,ne_bvlshr0,ltr,no
ahmed,cvc4,ne_bvlshr0,rtl,yes
ahmed,cvc4,ne_bvlshr1,ltr,yes
ahmed,cvc4,ne_bvlshr1,rtl,yes
ahmed,cvc4,ne_bvmul,ltr,no
ahmed,cvc4,ne_bvmul,rtl,yes
ahmed,cvc4,ne_bvneg,ltr,yes
ahmed,cvc4,ne_bvneg,rtl,yes
ahmed,cvc4,ne_bvnot,ltr,yes
ahmed,cvc4,ne_bvnot,rtl,yes
ahmed,cvc4,ne_bvor,ltr,yes
ahmed,cvc4,ne_bvor,rtl,yes
ahmed,cvc4,ne_bvshl0,ltr,no
ahmed,cvc4,ne_bvshl0,rtl,yes
ahmed,cvc4,ne_bvshl1,ltr,yes
ahmed,cvc4,ne_bvshl1,rtl,yes
ahmed,cvc4,ne_bvudiv0,ltr,yes
ahmed,cvc4,ne_bvudiv0,rtl,yes
ahmed,cvc4,ne_bvudiv1,ltr,no
ahmed,cvc4,ne_bvudiv1,rtl,yes
ahmed,cvc4,ne_bvurem0,ltr,yes
ahmed,cvc4,ne_bvurem0,rtl,yes
ahmed,cvc4,ne_bvurem1,ltr,yes
ahmed,cvc4,ne_bvurem1,rtl,yes
ahmed,z3,bvsge_bvadd,ltr,no
ahmed,z3,bvsge_bvadd,rtl,yes
ahmed,z3,bvsge_bvand,ltr,yes
ahmed,z3,bvsge_bvand,rtl,no
ahmed,z3,bvsge_bvashr0,ltr,yes
ahmed,z3,bvsge_bvashr0,rtl,no
ahmed,z3,bvsge_bvashr1,ltr,no
ahmed,z3,bvsge_bvashr1,rtl,no
ahmed,z3,bvsge_bvlshr0,ltr,no
ahmed,z3,bvsge_bvlshr0,rtl,no
ahmed,z3,bvsge_bvlshr1,ltr,no
ahmed,z3,bvsge_bvlshr1,rtl,no
ahmed,z3,bvsge_bvmul,ltr,no
ahmed,z3,bvsge_bvmul,rtl,no
ahmed,z3,bvsge_bvneg,ltr,no
ahmed,z3,bvsge_bvneg,rtl,yes
