encoding,ic_name,direction,proved
full,eq_bvadd,ltr,yes
full,eq_bvadd,rtl,yes
full,eq_bvand,ltr,yes
full,eq_bvand,rtl,no
full,eq_bvashr0,ltr,no
full,eq_bvashr0,rtl,no
full,eq_bvashr1,ltr,no
full,eq_bvashr1,rtl,no
full,eq_bvlshr0,ltr,yes
full,eq_bvlshr0,rtl,yes
full,eq_bvlshr1,ltr,no
full,eq_bvlshr1,rtl,no
full,eq_bvmul,ltr,no
full,eq_bvmul,rtl,no
full,eq_bvneg,ltr,yes
full,eq_bvneg,rtl,yes
full,eq_bvnot,ltr,yes
full,eq_bvnot,rtl,yes
full,eq_bvor,ltr,yes
full,eq_bvor,rtl,no
full,eq_bvshl0,ltr,yes
full,eq_bvshl0,rtl,no
full,eq_bvshl1,ltr,no
full,eq_bvshl1,rtl,no
full,eq_bvudiv0,ltr,yes
full,eq_bvudiv0,rtl,yes
full,eq_bvudiv1,ltr,no
full,eq_bvudiv1,rtl,no
full,eq_bvurem0,ltr,yes
full,eq_bvurem0,rtl,yes
full,eq_bvurem1,ltr,no
full,eq_bvurem1,rtl,no
full,ne_bvadd,ltr,no
full,ne_bvadd,rtl,yes
full,ne_bvand,ltr,no
full,ne_bvand,rtl,yes
full,ne_bvashr0,ltr,no
full,ne_bvashr0,rtl,yes
full,ne_bvashr1,ltr,no
full,ne_bvashr1,rtl,yes
full,ne_bvlshr0,ltr,no
full,ne_bvlshr0,rtl,no
full,ne_bvlshr1,ltr,no
full,ne_bvlshr1,rtl,yes
full,ne_bvmul,ltr,no
full,ne_bvmul,rtl,yes
full,ne_bvneg,ltr,yes
full,ne_bvneg,rtl,yes
full,ne_bvnot,ltr,yes
full,ne_bvnot,rtl,yes
full,ne_bvor,ltr,no
full,ne_bvor,rtl,yes
full,ne_bvshl0,ltr,no
full,ne_bvshl0,rtl,no
full,ne_bvshl1,ltr,no
full,ne_bvshl1,rtl,yes
full,ne_bvudiv0,ltr,yes
full,ne_bvudiv0,rtl,yes
full,ne_bvudiv1,ltr,no
full,ne_bvudiv1,rtl,yes
full,ne_bvurem0,ltr,yes
full,ne_bvurem0,rtl,yes
full,ne_bvurem1,ltr,yes
full,ne_bvurem1,rtl,yes
partial,bvsge_bvadd,ltr,yes
partial,bvsge_bvadd,rtl,yes
partial,bvsge_bvand,ltr,no
partial,bvsge_bvand,rtl,no
partial,bvsge_bvashr0,ltr,yes
partial,bvsge_bvashr0,rtl,yes
partial,bvsge_bvashr1,ltr,no
partial,bvsge_bvashr1,rtl,yes
partial,bvsge_bvlshr0,ltr,yes
partial,bvsge_bvlshr0,rtl,yes
partial,bvsge_bvlshr1,ltr,no
partial,bvsge_bvlshr1,rtl,yes
partial,bvsge_bvmul,ltr,no
partial,bvsge_bvmul,rtl,no
partial,bvsge_bvneg,ltr,yes
partial,bvsge_bvneg,rtl,yes
partial,bvsge_bvnot,ltr,yes
partial,bvsge_bvnot,rtl,yes
partial,bvsge_bvor,ltr,no
partial,bvsge_bvor,rtl,no
partial,bvsge_bvshl0,ltr,no
partial,bvsge_bvshl0,rtl,no
partial,bvsge_bvshl1,ltr,no
partial,bvsge_bvshl1,rtl,yes
partial,bvsge_bvudiv0,ltr,no
partial,bvsge_bvudiv0,rtl,yes
partial,bvsge_bvudiv1,ltr,no
partial,bvsge_bvudiv1,rtl,yes
partial,bvsge_bvurem0,ltr,yes
partial,bvsge_bvurem0,rtl,yes
partial,bvsge_bvurem1,ltr,no
partial,bvsge_bvurem1,rtl,yes
partial,bvsgt_bvadd,ltr,yes
partial,bvsgt_bvadd,rtl,yes
partial,bvsgt_bvand,ltr,yes
partial,bvsgt_bvand,rtl,no
partial,bvsgt_bvashr0,ltr,yes
partial,bvsgt_bvashr0,rtl,yes
partial,bvsgt_bvashr1,ltr,no
partial,bvsgt_bvashr1,rtl,no
partial,bvsgt_bvlshr0,ltr,yes
partial,bvsgt_bvlshr0,rtl,no
partial,bvsgt_bvlshr1,ltr,no
partial,bvsgt_bvlshr1,rtl,yes
partial,bvsgt_bvmul,ltr,no
partial,bvsgt_bvmul,rtl,no
partial,bvsgt_bvneg,ltr,yes
