,encoding,config,ic_name,direction,cond_inv,proved
222,ahmed,cvc4,bvuge_bvshl1,rtl,NA,no
223,ahmed,cvc4,bvuge_bvudiv0,ltr,no_inv,no
224,ahmed,cvc4,bvuge_bvudiv0,rtl,NA,no
225,ahmed,cvc4,bvuge_bvudiv1,ltr,inv_g,yes
226,ahmed,cvc4,bvuge_bvudiv1,ltr,no_inv,no
227,ahmed,cvc4,bvuge_bvudiv1,rtl,NA,yes
228,ahmed,cvc4,bvuge_bvurem0,ltr,inv_g,no
229,ahmed,cvc4,bvuge_bvurem0,ltr,no_inv,no
230,ahmed,cvc4,bvuge_bvurem0,rtl,NA,yes
231,ahmed,cvc4,bvuge_bvurem1,ltr,inv_g,no
232,ahmed,cvc4,bvuge_bvurem1,ltr,no_inv,no
233,ahmed,cvc4,bvuge_bvurem1,rtl,NA,no
234,ahmed,cvc4,bvugt_bvadd,ltr,inv_d2,yes
235,ahmed,cvc4,bvugt_bvadd,ltr,inv_g,yes
236,ahmed,cvc4,bvugt_bvadd,ltr,no_inv,no
237,ahmed,cvc4,bvugt_bvadd,rtl,NA,yes
238,ahmed,cvc4,bvugt_bvand,ltr,inv_g,yes
239,ahmed,cvc4,bvugt_bvand,ltr,no_inv,yes
240,ahmed,cvc4,bvugt_bvand,rtl,NA,yes
241,ahmed,cvc4,bvugt_bvashr0,ltr,inv_d2,yes
242,ahmed,cvc4,bvugt_bvashr0,ltr,inv_g,yes
243,ahmed,cvc4,bvugt_bvashr0,ltr,no_inv,no
244,ahmed,cvc4,bvugt_bvashr0,rtl,NA,yes
245,ahmed,cvc4,bvugt_bvashr1,ltr,inv_g,yes
246,ahmed,cvc4,bvugt_bvashr1,ltr,no_inv,no
247,ahmed,cvc4,bvugt_bvashr1,rtl,NA,yes
248,ahmed,cvc4,bvugt_bvlshr0,ltr,inv_d2,no
249,ahmed,cvc4,bvugt_bvlshr0,ltr,inv_g,yes
250,ahmed,cvc4,bvugt_bvlshr0,ltr,no_inv,no
251,ahmed,cvc4,bvugt_bvlshr0,rtl,NA,no
252,ahmed,cvc4,bvugt_bvlshr1,ltr,inv_g,yes
253,ahmed,cvc4,bvugt_bvlshr1,ltr,no_inv,yes
254,ahmed,cvc4,bvugt_bvlshr1,rtl,NA,yes
255,ahmed,cvc4,bvugt_bvmul,ltr,no_inv,no
256,ahmed,cvc4,bvugt_bvmul,rtl,NA,no
257,ahmed,cvc4,bvugt_bvneg,ltr,inv_g,yes
258,ahmed,cvc4,bvugt_bvneg,ltr,no_inv,no
259,ahmed,cvc4,bvugt_bvneg,rtl,NA,yes
260,ahmed,cvc4,bvugt_bvnot,ltr,inv_g,yes
261,ahmed,cvc4,bvugt_bvnot,ltr,no_inv,yes
262,ahmed,cvc4,bvugt_bvnot,rtl,NA,yes
263,ahmed,cvc4,bvugt_bvor,ltr,inv_d2,no
264,ahmed,cvc4,bvugt_bvor,ltr,inv_g,yes
265,ahmed,cvc4,bvugt_bvor,ltr,no_inv,yes
266,ahmed,cvc4,bvugt_bvor,rtl,NA,yes
267,ahmed,cvc4,bvugt_bvshl0,ltr,inv_d2,no
268,ahmed,cvc4,bvugt_bvshl0,ltr,inv_g,yes
269,ahmed,cvc4,bvugt_bvshl0,ltr,no_inv,no
270,ahmed,cvc4,bvugt_bvshl0,rtl,NA,no
271,ahmed,cvc4,bvugt_bvshl1,ltr,no_inv,no
272,ahmed,cvc4,bvugt_bvshl1,rtl,NA,yes
273,ahmed,cvc4,bvugt_bvudiv0,ltr,inv_d2,yes
274,ahmed,cvc4,bvugt_bvudiv0,ltr,inv_g,yes
275,ahmed,cvc4,bvugt_bvudiv0,ltr,no_inv,no
276,ahmed,cvc4,bvugt_bvudiv0,rtl,NA,no
277,ahmed,cvc4,bvugt_bvudiv1,ltr,inv_g,yes
278,ahmed,cvc4,bvugt_bvudiv1,ltr,no_inv,no
279,ahmed,cvc4,bvugt_bvudiv1,rtl,NA,yes
280,ahmed,cvc4,bvugt_bvurem0,ltr,inv_d2,yes
281,ahmed,cvc4,bvugt_bvurem0,ltr,inv_g,no
282,ahmed,cvc4,bvugt_bvurem0,ltr,no_inv,no
283,ahmed,cvc4,bvugt_bvurem0,rtl,NA,yes
284,ahmed,cvc4,bvugt_bvurem1,ltr,inv_g,yes
285,ahmed,cvc4,bvugt_bvurem1,ltr,no_inv,no
286,ahmed,cvc4,bvugt_bvurem1,rtl,NA,no
287,ahmed,cvc4,bvule_bvadd,ltr,inv_d2,yes
288,ahmed,cvc4,bvule_bvadd,ltr,inv_g,yes
289,ahmed,cvc4,bvule_bvadd,ltr,no_inv,no
290,ahmed,cvc4,bvule_bvadd,rtl,NA,yes
291,ahmed,cvc4,bvule_bvand,ltr,inv_g,yes
292,ahmed,cvc4,bvule_bvand,ltr,no_inv,yes
293,ahmed,cvc4,bvule_bvand,rtl,NA,yes
294,ahmed,cvc4,bvule_bvashr0,ltr,inv_g,yes
295,ahmed,cvc4,bvule_bvashr0,ltr,no_inv,no
