,ic_name,direction,encoding,cond_inv,proved,direction_cond,ic
571,bvsgt_bvurem0,rtl,full,NA,yes,rtl,(and (and (=> (bvsgt s (_ bv0 4)) (bvslt t (bvnot (bvneg s)))) (=> (bvsle s (_ bv0 4)) (distinct t max))) (or (distinct t (_ bv0 4)) (distinct s (_ bv1 4))))
572,bvsgt_bvurem0,rtl,partial,NA,yes,rtl,(and (and (=> (bvsgt s (_ bv0 4)) (bvslt t (bvnot (bvneg s)))) (=> (bvsle s (_ bv0 4)) (distinct t max))) (or (distinct t (_ bv0 4)) (distinct s (_ bv1 4))))
573,bvsgt_bvurem0,rtl,qf,NA,yes,rtl,(and (and (=> (bvsgt s (_ bv0 4)) (bvslt t (bvnot (bvneg s)))) (=> (bvsle s (_ bv0 4)) (distinct t max))) (or (distinct t (_ bv0 4)) (distinct s (_ bv1 4))))
574,bvsgt_bvurem0,rtl,rec,NA,yes,rtl,(and (and (=> (bvsgt s (_ bv0 4)) (bvslt t (bvnot (bvneg s)))) (=> (bvsle s (_ bv0 4)) (distinct t max))) (or (distinct t (_ bv0 4)) (distinct s (_ bv1 4))))
585,bvsgt_bvurem1,rtl,combined,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsgt s t)) (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr (bvsub s (_ bv1 4)) (_ bv1 4)) t)))
586,bvsgt_bvurem1,rtl,full,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsgt s t)) (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr (bvsub s (_ bv1 4)) (_ bv1 4)) t)))
587,bvsgt_bvurem1,rtl,partial,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsgt s t)) (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr (bvsub s (_ bv1 4)) (_ bv1 4)) t)))
588,bvsgt_bvurem1,rtl,qf,NA,yes,rtl,(and (=> (bvsge s (_ bv0 4)) (bvsgt s t)) (=> (bvslt s (_ bv0 4)) (bvsgt (bvlshr (bvsub s (_ bv1 4)) (_ bv1 4)) t)))
610,bvsle_bvadd,rtl,combined,NA,yes,rtl,true
611,bvsle_bvadd,rtl,full,NA,yes,rtl,true
612,bvsle_bvadd,rtl,partial,NA,yes,rtl,true
613,bvsle_bvadd,rtl,qf,NA,yes,rtl,true
614,bvsle_bvadd,rtl,rec,NA,yes,rtl,true
680,bvsle_bvashr1,rtl,combined,NA,yes,rtl,(or (bvsge t (_ bv0 4)) (bvsge t s))
682,bvsle_bvashr1,rtl,partial,NA,yes,rtl,(or (bvsge t (_ bv0 4)) (bvsge t s))
683,bvsle_bvashr1,rtl,qf,NA,yes,rtl,(or (bvsge t (_ bv0 4)) (bvsge t s))
705,bvsle_bvlshr0,rtl,combined,NA,yes,rtl,(bvsge t (bvlshr t s))
707,bvsle_bvlshr0,rtl,partial,NA,yes,rtl,(bvsge t (bvlshr t s))
709,bvsle_bvlshr0,rtl,rec,NA,yes,rtl,(bvsge t (bvlshr t s))
727,bvsle_bvlshr1,rtl,partial,NA,yes,rtl,(or (bvult t min) (bvsge t s))
728,bvsle_bvlshr1,rtl,qf,NA,yes,rtl,(or (bvult t min) (bvsge t s))
735,bvsle_bvmul,rtl,combined,NA,yes,rtl,(not (and (= s (_ bv0 4)) (bvslt t s)))
736,bvsle_bvmul,rtl,full,NA,yes,rtl,(not (and (= s (_ bv0 4)) (bvslt t s)))
737,bvsle_bvmul,rtl,partial,NA,yes,rtl,(not (and (= s (_ bv0 4)) (bvslt t s)))
738,bvsle_bvmul,rtl,qf,NA,yes,rtl,(not (and (= s (_ bv0 4)) (bvslt t s)))
739,bvsle_bvmul,rtl,rec,NA,yes,rtl,(not (and (= s (_ bv0 4)) (bvslt t s)))
760,bvsle_bvneg,rtl,combined,NA,yes,rtl,true
761,bvsle_bvneg,rtl,full,NA,yes,rtl,true
762,bvsle_bvneg,rtl,partial,NA,yes,rtl,true
763,bvsle_bvneg,rtl,qf,NA,yes,rtl,true
764,bvsle_bvneg,rtl,rec,NA,yes,rtl,true
785,bvsle_bvnot,rtl,combined,NA,yes,rtl,true
786,bvsle_bvnot,rtl,full,NA,yes,rtl,true
787,bvsle_bvnot,rtl,partial,NA,yes,rtl,true
788,bvsle_bvnot,rtl,qf,NA,yes,rtl,true
789,bvsle_bvnot,rtl,rec,NA,yes,rtl,true
825,bvsle_bvshl0,rtl,combined,NA,yes,rtl,(bvult (bvlshr t (bvlshr t s)) min)
827,bvsle_bvshl0,rtl,partial,NA,yes,rtl,(bvult (bvlshr t (bvlshr t s)) min)
835,bvsle_bvshl1,rtl,combined,NA,yes,rtl,(bvult (bvlshr t s) min)
837,bvsle_bvshl1,rtl,partial,NA,yes,rtl,(bvult (bvlshr t s) min)
838,bvsle_bvshl1,rtl,qf,NA,yes,rtl,(bvult (bvlshr t s) min)
860,bvsle_bvudiv0,rtl,combined,NA,yes,rtl,(or (= (udivtotal (bvmul s t) s) t) (=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t)))
861,bvsle_bvudiv0,rtl,full,NA,yes,rtl,(or (= (udivtotal (bvmul s t) s) t) (=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t)))
862,bvsle_bvudiv0,rtl,partial,NA,yes,rtl,(or (= (udivtotal (bvmul s t) s) t) (=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t)))
863,bvsle_bvudiv0,rtl,qf,NA,yes,rtl,(or (= (udivtotal (bvmul s t) s) t) (=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t)))
864,bvsle_bvudiv0,rtl,rec,NA,yes,rtl,(or (= (udivtotal (bvmul s t) s) t) (=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t)))
870,bvsle_bvudiv1,rtl,combined,NA,yes,rtl,(or (bvsge t (bvnot (_ bv0 4))) (bvsge t s))
871,bvsle_bvudiv1,rtl,full,NA,yes,rtl,(or (bvsge t (bvnot (_ bv0 4))) (bvsge t s))
872,bvsle_bvudiv1,rtl,partial,NA,yes,rtl,(or (bvsge t (bvnot (_ bv0 4))) (bvsge t s))
873,bvsle_bvudiv1,rtl,qf,NA,yes,rtl,(or (bvsge t (bvnot (_ bv0 4))) (bvsge t s))
874,bvsle_bvudiv1,rtl,rec,NA,yes,rtl,(or (bvsge t (bvnot (_ bv0 4))) (bvsge t s))
915,bvsle_bvurem1,rtl,combined,NA,yes,rtl,(or (bvult t min) (bvsge t s))
916,bvsle_bvurem1,rtl,full,NA,yes,rtl,(or (bvult t min) (bvsge t s))
917,bvsle_bvurem1,rtl,partial,NA,yes,rtl,(or (bvult t min) (bvsge t s))
918,bvsle_bvurem1,rtl,qf,NA,yes,rtl,(or (bvult t min) (bvsge t s))
919,bvsle_bvurem1,rtl,rec,NA,yes,rtl,(or (bvult t min) (bvsge t s))
940,bvslt_bvadd,rtl,combined,NA,yes,rtl,(distinct t min)
941,bvslt_bvadd,rtl,full,NA,yes,rtl,(distinct t min)
942,bvslt_bvadd,rtl,partial,NA,yes,rtl,(distinct t min)
943,bvslt_bvadd,rtl,qf,NA,yes,rtl,(distinct t min)
1010,bvslt_bvashr1,rtl,combined,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1012,bvslt_bvashr1,rtl,partial,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1013,bvslt_bvashr1,rtl,qf,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1014,bvslt_bvashr1,rtl,rec,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1035,bvslt_bvlshr0,rtl,combined,NA,yes,rtl,(bvslt (bvlshr (bvnot (bvneg t)) s) t)
1037,bvslt_bvlshr0,rtl,partial,NA,yes,rtl,(bvslt (bvlshr (bvnot (bvneg t)) s) t)
1038,bvslt_bvlshr0,rtl,qf,NA,yes,rtl,(bvslt (bvlshr (bvnot (bvneg t)) s) t)
1055,bvslt_bvlshr1,rtl,combined,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1057,bvslt_bvlshr1,rtl,partial,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1058,bvslt_bvlshr1,rtl,qf,NA,yes,rtl,(or (bvslt s t) (bvslt (_ bv0 4) t))
1090,bvslt_bvneg,rtl,combined,NA,yes,rtl,(distinct t min)
1091,bvslt_bvneg,rtl,full,NA,yes,rtl,(distinct t min)
1092,bvslt_bvneg,rtl,partial,NA,yes,rtl,(distinct t min)
1093,bvslt_bvneg,rtl,qf,NA,yes,rtl,(distinct t min)
1115,bvslt_bvnot,rtl,combined,NA,yes,rtl,(distinct t min)
1116,bvslt_bvnot,rtl,full,NA,yes,rtl,(distinct t min)
1117,bvslt_bvnot,rtl,partial,NA,yes,rtl,(distinct t min)
1118,bvslt_bvnot,rtl,qf,NA,yes,rtl,(distinct t min)
1166,bvslt_bvshl1,rtl,full,NA,yes,rtl,(bvult (bvshl min s) (bvadd t min))
1190,bvslt_bvudiv0,rtl,combined,NA,yes,rtl,(=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t))
1191,bvslt_bvudiv0,rtl,full,NA,yes,rtl,(=> (bvsle t (_ bv0 4)) (bvslt (udivtotal min s) t))
