BENCHMARK;STAT;RES;EXIT;CPU[s];SPACE[MB]
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit29.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit30.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit31.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit4.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit5.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit6.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit7.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit8.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvor_4bit9.smt2;ok;20;0;0.0;0.0
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit10.smt2;ok;20;0;0.19;21.0
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit11.smt2;ok;20;0;0.49;24.3
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit12.smt2;ok;20;0;1.49;32.4
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit13.smt2;ok;20;0;3.1;46.2
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit14.smt2;to;-;2;5.09;62.0
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit15.smt2;to;-;2;5.08;62.0
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit16.smt2;to;-;2;5.09;63.4
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit17.smt2;to;-;2;5.09;60.2
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit18.smt2;to;-;2;5.09;63.6
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit19.smt2;to;-;2;5.09;61.9
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit20.smt2;to;-;2;5.09;65.4
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit21.smt2;to;-;2;5.09;70.6
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit22.smt2;to;-;2;5.08;64.5
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit23.smt2;to;-;2;5.09;65.5
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit24.smt2;to;-;2;5.09;69.3
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit25.smt2;to;-;2;5.09;72.1
cvc4_default/syntax_a-verify_inv_bvsge_bvudiv0_4bit26.smt2;to;-;2;5.09;70.0
