DIRECTORY;cluster_results
BENCHMARK;STAT;RES;EXIT;CPU[s];SPACE[MB]
cvc4_default/syntax_a-find_inv_bvugt_bvlshr1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvugt_bvmul_4bit.sy;mo;-;3;779.31;4000.2
cvc4_default/syntax_a-find_inv_bvugt_bvneg_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvugt_bvnot_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvugt_bvor_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_a-find_inv_bvugt_bvshl0_4bit.sy;ok;20;0;0.01;0.6
cvc4_default/syntax_a-find_inv_bvugt_bvshl1_4bit.sy;mo;-;3;644.03;4000.8
cvc4_default/syntax_a-find_inv_bvugt_bvudiv0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvugt_bvudiv1_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_a-find_inv_bvugt_bvurem0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvugt_bvurem1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvule_bvadd_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvule_bvand_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvule_bvashr0_4bit.sy;ok;20;0;0.01;0.6
cvc4_default/syntax_a-find_inv_bvule_bvashr1_4bit.sy;mo;-;3;831.53;4000.1
cvc4_default/syntax_a-find_inv_bvule_bvlshr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvule_bvlshr1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvule_bvmul_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_a-find_inv_bvule_bvneg_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvule_bvnot_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvule_bvor_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvule_bvshl0_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_bvule_bvshl1_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_bvule_bvudiv0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvule_bvudiv1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvule_bvurem0_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_a-find_inv_bvule_bvurem1_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_bvult_bvadd_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_a-find_inv_bvult_bvand_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvashr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvult_bvashr1_4bit.sy;mo;-;3;1222.69;4000.1
cvc4_default/syntax_a-find_inv_bvult_bvlshr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvult_bvlshr1_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_a-find_inv_bvult_bvmul_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_a-find_inv_bvult_bvneg_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvnot_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvor_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvshl0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvshl1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvudiv0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvudiv1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_bvult_bvurem0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_bvult_bvurem1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_eq_bvadd_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_eq_bvand_4bit.sy;ok;20;0;0.01;0.7
cvc4_default/syntax_a-find_inv_eq_bvashr0_4bit.sy;ok;20;0;373.29;2353.2
cvc4_default/syntax_a-find_inv_eq_bvashr1_4bit.sy;mo;-;3;883.79;4000.1
cvc4_default/syntax_a-find_inv_eq_bvlshr0_4bit.sy;ok;20;0;0.19;22.0
cvc4_default/syntax_a-find_inv_eq_bvlshr1_4bit.sy;mo;-;3;692.33;4000.4
cvc4_default/syntax_a-find_inv_eq_bvmul_4bit.sy;mo;-;3;621.2;4000.5
cvc4_default/syntax_a-find_inv_eq_bvneg_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_a-find_inv_eq_bvnot_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_eq_bvor_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_eq_bvshl0_4bit.sy;mo;-;3;683.78;4000.5
cvc4_default/syntax_a-find_inv_eq_bvshl1_4bit.sy;mo;-;3;1300.24;4000.1
cvc4_default/syntax_a-find_inv_eq_bvudiv0_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_a-find_inv_eq_bvudiv1_4bit.sy;mo;-;3;731.85;4000.2
cvc4_default/syntax_a-find_inv_eq_bvurem0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_eq_bvurem1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_ne_bvadd_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_ne_bvand_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_a-find_inv_ne_bvashr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_ne_bvashr1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_ne_bvlshr0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_ne_bvlshr1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_ne_bvmul_4bit.sy;to;-;2;3600.15;3803.7
cvc4_default/syntax_a-find_inv_ne_bvneg_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_a-find_inv_ne_bvnot_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_ne_bvor_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_ne_bvshl0_4bit.sy;mo;-;3;1372.91;4000.2
cvc4_default/syntax_a-find_inv_ne_bvshl1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_a-find_inv_ne_bvudiv0_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_a-find_inv_ne_bvudiv1_4bit.sy;ok;20;0;0.53;26.6
cvc4_default/syntax_a-find_inv_ne_bvurem0_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_a-find_inv_ne_bvurem1_4bit.sy;ok;20;0;0.0;0.0
cvc4_default/syntax_g-find_inv_bvsge_bvadd_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsge_bvand_4bit.sy;ok;20;0;0.0;4.8
cvc4_default/syntax_g-find_inv_bvsge_bvashr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsge_bvashr1_4bit.sy;ok;20;0;0.01;20.2
cvc4_default/syntax_g-find_inv_bvsge_bvlshr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsge_bvlshr1_4bit.sy;ok;20;0;0.74;28.9
cvc4_default/syntax_g-find_inv_bvsge_bvmul_4bit.sy;mo;-;3;537.69;4022.4
cvc4_default/syntax_g-find_inv_bvsge_bvneg_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvsge_bvnot_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsge_bvor_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvsge_bvshl0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsge_bvshl1_4bit.sy;mo;-;3;806.99;4003.8
cvc4_default/syntax_g-find_inv_bvsge_bvudiv0_4bit.sy;ok;20;0;6.59;72.1
cvc4_default/syntax_g-find_inv_bvsge_bvudiv1_4bit.sy;ok;20;0;330.69;1855.2
cvc4_default/syntax_g-find_inv_bvsge_bvurem0_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvsge_bvurem1_4bit.sy;ok;20;0;3.99;54.9
cvc4_default/syntax_g-find_inv_bvsgt_bvadd_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsgt_bvand_4bit.sy;ok;20;0;0.01;0.9
cvc4_default/syntax_g-find_inv_bvsgt_bvashr0_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_g-find_inv_bvsgt_bvashr1_4bit.sy;ok;20;0;0.0;0.3
cvc4_default/syntax_g-find_inv_bvsgt_bvlshr0_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_g-find_inv_bvsgt_bvlshr1_4bit.sy;ok;20;0;0.44;28.7
cvc4_default/syntax_g-find_inv_bvsgt_bvmul_4bit.sy;mo;-;3;625.64;4002.6
cvc4_default/syntax_g-find_inv_bvsgt_bvneg_4bit.sy;ok;20;0;0.01;20.1
cvc4_default/syntax_g-find_inv_bvsgt_bvnot_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_g-find_inv_bvsgt_bvor_4bit.sy;ok;20;0;0.02;0.8
cvc4_default/syntax_g-find_inv_bvsgt_bvshl0_4bit.sy;ok;20;0;0.03;20.6
cvc4_default/syntax_g-find_inv_bvsgt_bvshl1_4bit.sy;mo;-;3;428.32;4011.1
cvc4_default/syntax_g-find_inv_bvsgt_bvudiv0_4bit.sy;ok;20;0;5.29;68.9
cvc4_default/syntax_g-find_inv_bvsgt_bvudiv1_4bit.sy;ok;20;0;244.67;1852.8
cvc4_default/syntax_g-find_inv_bvsgt_bvurem0_4bit.sy;ok;20;0;0.05;21.6
cvc4_default/syntax_g-find_inv_bvsgt_bvurem1_4bit.sy;ok;20;0;172.27;1186.8
cvc4_default/syntax_g-find_inv_bvsle_bvadd_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsle_bvand_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvsle_bvashr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsle_bvashr1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsle_bvlshr0_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvsle_bvlshr1_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvsle_bvmul_4bit.sy;mo;-;3;977.2;4014.0
cvc4_default/syntax_g-find_inv_bvsle_bvneg_4bit.sy;ok;20;0;0.0;0.6
cvc4_default/syntax_g-find_inv_bvsle_bvnot_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvsle_bvor_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvsle_bvshl0_4bit.sy;ok;20;0;0.0;7.6
cvc4_default/syntax_g-find_inv_bvsle_bvshl1_4bit.sy;mo;-;3;425.56;4020.2
cvc4_default/syntax_g-find_inv_bvsle_bvudiv0_4bit.sy;ok;20;0;0.03;21.3
cvc4_default/syntax_g-find_inv_bvsle_bvudiv1_4bit.sy;ok;20;0;0.6;30.0
cvc4_default/syntax_g-find_inv_bvsle_bvurem0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvsle_bvurem1_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvadd_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvand_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvashr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvashr1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvlshr0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvlshr1_4bit.sy;ok;20;0;0.0;0.3
cvc4_default/syntax_g-find_inv_bvslt_bvmul_4bit.sy;mo;-;3;580.79;4000.2
cvc4_default/syntax_g-find_inv_bvslt_bvneg_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvnot_4bit.sy;ok;20;0;0.01;10.4
cvc4_default/syntax_g-find_inv_bvslt_bvor_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvshl0_4bit.sy;ok;20;0;0.01;0.4
cvc4_default/syntax_g-find_inv_bvslt_bvshl1_4bit.sy;mo;-;3;440.19;4011.1
cvc4_default/syntax_g-find_inv_bvslt_bvudiv0_4bit.sy;ok;20;0;0.01;0.9
cvc4_default/syntax_g-find_inv_bvslt_bvudiv1_4bit.sy;ok;20;0;0.66;29.7
cvc4_default/syntax_g-find_inv_bvslt_bvurem0_4bit.sy;ok;20;0;0.09;23.3
cvc4_default/syntax_g-find_inv_bvslt_bvurem1_4bit.sy;ok;20;0;0.0;0.3
cvc4_default/syntax_g-find_inv_bvuge_bvadd_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_g-find_inv_bvuge_bvand_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvuge_bvashr0_4bit.sy;ok;20;0;0.0;0.9
cvc4_default/syntax_g-find_inv_bvuge_bvashr1_4bit.sy;ok;20;0;0.01;19.5
cvc4_default/syntax_g-find_inv_bvuge_bvlshr0_4bit.sy;ok;20;0;0.02;20.7
cvc4_default/syntax_g-find_inv_bvuge_bvlshr1_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_g-find_inv_bvuge_bvmul_4bit.sy;mo;-;3;614.32;4013.1
cvc4_default/syntax_g-find_inv_bvuge_bvneg_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvuge_bvnot_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvuge_bvor_4bit.sy;ok;20;0;0.0;0.3
cvc4_default/syntax_g-find_inv_bvuge_bvshl0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvuge_bvshl1_4bit.sy;mo;-;3;562.69;4017.0
cvc4_default/syntax_g-find_inv_bvuge_bvudiv0_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvuge_bvudiv1_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvuge_bvurem0_4bit.sy;ok;20;0;0.0;0.7
cvc4_default/syntax_g-find_inv_bvuge_bvurem1_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvugt_bvadd_4bit.sy;ok;20;0;0.0;0.5
cvc4_default/syntax_g-find_inv_bvugt_bvand_4bit.sy;ok;20;0;0.0;0.4
cvc4_default/syntax_g-find_inv_bvugt_bvashr0_4bit.sy;ok;20;0;0.0;0.8
cvc4_default/syntax_g-find_inv_bvugt_bvashr1_4bit.sy;ok;20;0;0.0;0.9
